true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,soft,base50,date,policy,undersell_gt1500,oversell,const_price
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-17,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,17,True,93.26932573131452,2022-06-17,best_constant_price,1.0,0.0,80.0
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-03,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,19,True,93.26932573131452,2022-06-03,always_min_price_80,1.0,0.0,
911853.844417969,-35.885167602414825,0.7163417095284771,2836.5829047152292,,10000,2022-06-03,6,4,91.99999988079071,15000.0,100,93.26932573131452,0.0,True,False,19,True,93.26932573131452,2022-06-03,myopic_grid_max_sl,1.0,0.0,
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-03,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,19,True,93.26932573131452,2022-06-03,best_constant_price,1.0,0.0,80.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-20,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,21,True,89.3393639748758,2022-06-20,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-20,6,0,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,21,True,89.3393639748758,2022-06-20,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-20,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,21,True,89.3393639748758,2022-06-20,best_constant_price,1.0,0.0,80.0
846482.4117462888,-7.319519697711044,0.7644277248324112,2355.7227516758885,,10000,2022-06-16,6,3,80.0,15000.0,100,89.3393639748758,1.0,True,False,24,True,89.3393639748758,2022-06-16,always_min_price_80,1.0,0.0,
860408.412721865,-70.73066285508209,0.6756554737982621,3243.445262017379,,10000,2022-06-16,6,3,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,24,True,89.3393639748758,2022-06-16,myopic_grid_max_sl,1.0,0.0,
846482.4117462888,-7.319519697711044,0.7644277248324112,2355.7227516758885,,10000,2022-06-16,6,3,80.0,15000.0,100,89.3393639748758,1.0,True,False,24,True,89.3393639748758,2022-06-16,best_constant_price,1.0,0.0,80.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-29,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,26,True,89.3393639748758,2022-06-29,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-29,6,2,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,26,True,89.3393639748758,2022-06-29,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-29,6,2,80.0,15000.0,100,89.3393639748758,1.0,True,False,26,True,89.3393639748758,2022-06-29,best_constant_price,1.0,0.0,80.0
