true_revenue,shaped_return,load_factor,remain_inv,sellout_day,capacity,service_date,month,dow,mean_price,mean_selling_limit,n_steps,base_demand,frac_at_floor,is_soft,is_peak,seed,soft,base50,date,policy,undersell_gt1500,oversell,const_price
1666854.0287373941,125.15746870439236,1.0922842981541043,-922.8429815410436,6.0,10000,2022-12-11,12,6,120.0,15000.0,100,192.542564800098,0.0,False,True,7,False,192.542564800098,2022-12-11,best_constant_price,0.0,1.0,120.0
1210016.6883307456,74.05993327382203,1.1043149679094502,-1043.149679094502,7.0,10000,2022-12-27,12,1,80.0,15000.0,100,127.57061847614774,1.0,False,True,8,False,127.57061847614774,2022-12-27,always_min_price_80,0.0,1.0,
1229923.41450524,185.52485812649155,0.9760719406520104,239.2805934798962,,10000,2022-12-27,12,1,91.99999988079071,15000.0,100,127.57061847614774,0.0,False,True,8,False,127.57061847614774,2022-12-27,myopic_grid_max_sl,0.0,0.0,
1229533.0865296293,201.08872620358153,0.9974457774666009,25.542225333991155,,10000,2022-12-27,12,1,90.0,15000.0,100,127.57061847614774,0.0,False,True,8,False,127.57061847614774,2022-12-27,best_constant_price,0.0,0.0,90.0
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-03,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,9,True,93.26932573131452,2022-06-03,always_min_price_80,1.0,0.0,
911853.844417969,-35.885167602414825,0.7163417095284771,2836.5829047152292,,10000,2022-06-03,6,4,91.99999988079071,15000.0,100,93.26932573131452,0.0,True,False,9,True,93.26932573131452,2022-06-03,myopic_grid_max_sl,1.0,0.0,
897095.1817419765,31.34502421328149,0.8104595973138135,1895.4040268618655,,10000,2022-06-03,6,4,80.0,15000.0,100,93.26932573131452,1.0,True,False,9,True,93.26932573131452,2022-06-03,best_constant_price,1.0,0.0,80.0
1211076.0175433392,73.74746784478793,1.1052447420212135,-1052.4474202121346,7.0,10000,2022-12-15,12,3,80.0,15000.0,100,127.68291019733265,1.0,False,True,10,False,127.68291019733265,2022-12-15,always_min_price_80,0.0,1.0,
1231000.1713919858,186.23244806702934,0.9768937409970284,231.06259002971638,,10000,2022-12-15,12,3,91.99999988079071,15000.0,100,127.68291019733265,0.0,False,True,10,False,127.68291019733265,2022-12-15,myopic_grid_max_sl,0.0,0.0,
1230609.5016972646,201.80941877984287,0.9982855734385155,17.1442656148447,,10000,2022-12-15,12,3,90.0,15000.0,100,127.68291019733265,0.0,False,True,10,False,127.68291019733265,2022-12-15,best_constant_price,0.0,0.0,90.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-27,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,11,True,89.3393639748758,2022-06-27,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-27,6,0,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,11,True,89.3393639748758,2022-06-27,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-27,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,11,True,89.3393639748758,2022-06-27,best_constant_price,1.0,0.0,80.0
1211076.0175433392,73.74746784478793,1.1052447420212135,-1052.4474202121346,7.0,10000,2022-12-22,12,3,80.0,15000.0,100,127.68291019733265,1.0,False,True,12,False,127.68291019733265,2022-12-22,always_min_price_80,0.0,1.0,
1231000.1713919858,186.23244806702934,0.9768937409970284,231.06259002971638,,10000,2022-12-22,12,3,91.99999988079071,15000.0,100,127.68291019733265,0.0,False,True,12,False,127.68291019733265,2022-12-22,myopic_grid_max_sl,0.0,0.0,
1230609.5016972646,201.80941877984287,0.9982855734385155,17.1442656148447,,10000,2022-12-22,12,3,90.0,15000.0,100,127.68291019733265,0.0,False,True,12,False,127.68291019733265,2022-12-22,best_constant_price,0.0,0.0,90.0
1404812.4800074333,-17.018751999257347,1.3500000000000012,-3500.0000000000127,33.0,10000,2022-12-10,12,5,80.0,15000.0,100,195.43755580295394,1.0,False,True,13,False,195.43755580295394,2022-12-10,always_min_price_80,0.0,1.0,
1602947.56284801,2.794756284801082,1.3499999999999996,-3499.9999999999964,27.0,10000,2022-12-10,12,5,91.99999988079071,15000.0,100,195.43755580295394,0.0,False,True,13,False,195.43755580295394,2022-12-10,myopic_grid_max_sl,0.0,1.0,
1693166.9351384754,120.1267071850138,1.109311080730742,-1093.110807307421,7.0,10000,2022-12-10,12,5,120.0,15000.0,100,195.43755580295394,0.0,False,True,13,False,195.43755580295394,2022-12-10,best_constant_price,0.0,1.0,120.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-20,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,14,True,89.3393639748758,2022-06-20,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-20,6,0,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,14,True,89.3393639748758,2022-06-20,myopic_grid_max_sl,1.0,0.0,
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-20,6,0,80.0,15000.0,100,89.3393639748758,1.0,True,False,14,True,89.3393639748758,2022-06-20,best_constant_price,1.0,0.0,80.0
1210016.6883307456,74.05993327382203,1.1043149679094502,-1043.149679094502,7.0,10000,2022-12-06,12,1,80.0,15000.0,100,127.57061847614774,1.0,False,True,15,False,127.57061847614774,2022-12-06,always_min_price_80,0.0,1.0,
1229923.41450524,185.52485812649155,0.9760719406520104,239.2805934798962,,10000,2022-12-06,12,1,91.99999988079071,15000.0,100,127.57061847614774,0.0,False,True,15,False,127.57061847614774,2022-12-06,myopic_grid_max_sl,0.0,0.0,
1229533.0865296293,201.08872620358153,0.9974457774666009,25.542225333991155,,10000,2022-12-06,12,1,90.0,15000.0,100,127.57061847614774,0.0,False,True,15,False,127.57061847614774,2022-12-06,best_constant_price,0.0,0.0,90.0
846392.2050042094,-7.3822082348030165,0.7643542072120221,2356.457927879779,,10000,2022-06-07,6,1,80.0,15000.0,100,89.3393639748758,1.0,True,False,16,True,89.3393639748758,2022-06-07,always_min_price_80,1.0,0.0,
860316.7219333829,-70.78726739989617,0.6755904937078979,3244.095062921021,,10000,2022-06-07,6,1,91.99999988079071,15000.0,100,89.3393639748758,0.0,True,False,16,True,89.3393639748758,2022-06-07,myopic_grid_max_sl,1.0,0.0,
