policy,seed,dow,month,days_prior,price,selling_limit,accepted,show_ups,revenue
Joint BC to SAC + cap,4,6,12,46,115.75405597686768,14389.58466053009,148.4735043010189,4637.9283921259985,726627.676564786
Joint BC to SAC + cap,4,6,12,45,115.5219030380249,14410.874843597412,161.0414199343271,4763.178619697402,745231.4878635452
Joint BC to SAC + cap,4,6,12,44,115.28116703033447,14406.480193138123,166.16707356290448,4892.349826754373,764387.4220258923
Joint BC to SAC + cap,4,6,12,43,115.07043838500977,14373.465478420258,159.83884024682212,5018.430201224426,782780.1474440456
Joint BC to SAC + cap,4,6,12,42,114.73567962646484,14350.222945213318,163.5915216481947,5144.69880792511,801549.9318614788
Joint BC to SAC + cap,4,6,12,41,114.63048458099365,14336.545467376709,169.24001782664297,5274.29485361609,820949.9971154429
Joint BC to SAC + cap,4,6,12,40,114.55326557159424,14312.869310379028,179.15415204587956,5414.2746207936,841472.6902730083
Joint BC to SAC + cap,4,6,12,39,114.49774742126465,14273.33950996399,166.41080307372792,5547.779953276806,860526.3523715138
Joint BC to SAC + cap,4,6,12,38,114.43140029907227,14232.05554485321,189.33312143950786,5696.714355531291,882192.006580831
Joint BC to SAC + cap,4,6,12,37,114.36989784240723,14186.500310897827,177.27175867964579,5837.830145534078,902466.559511366
Joint BC to SAC + cap,4,6,12,36,114.18637037277222,14152.140617370605,186.54977116469084,5984.721360712067,923768.0007745333
Joint BC to SAC + cap,4,6,12,35,113.75245094299316,14117.85900592804,175.2619028496037,6124.918870561468,943704.4717806084
Joint BC to SAC + cap,4,6,12,34,113.26239824295044,14079.017639160156,177.56295838466704,6266.559810410988,963815.678286369
Joint BC to SAC + cap,4,6,12,33,112.82203674316406,14066.52182340622,181.38777644546795,6408.6158506585625,984280.2166652604
Joint BC to SAC + cap,4,6,12,32,112.40455865859985,14055.55784702301,170.6824330220982,6540.116330772141,1003465.7002198853
Joint BC to SAC + cap,4,6,12,31,111.92501544952393,14057.464599609375,180.51272032443737,6685.7399563336285,1023669.5892310336
Joint BC to SAC + cap,4,6,12,30,111.2868881225586,14081.433415412903,176.87498914591828,6828.562714049196,1043353.4563597941
Joint BC to SAC + cap,4,6,12,29,110.7605504989624,14061.722457408905,204.42379110672792,6991.89680517236,1065995.5479978602
Joint BC to SAC + cap,4,6,12,28,110.27515888214111,13977.461159229279,197.68030241605118,7150.394840163303,1087794.77475466
Joint BC to SAC + cap,4,6,12,27,109.43334102630615,13861.775994300842,193.5040974216427,7305.302474295421,1108970.5746377902
Joint BC to SAC + cap,4,6,12,26,108.52356195449829,13739.614188671112,202.48730382656657,7469.1834511221,1130945.2180996118
Joint BC to SAC + cap,4,6,12,25,107.40279197692871,13604.252338409424,216.08102002885673,7642.117295480167,1154152.9229439336
