policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,n_seasons,history
"fitted, 5 seasons, history 1",6,3168780.1029091794,3367695.4575679637,994.5767732939221,0.0,0,10008.0,100.8267386427907,7386.0,101.1738757579871,9855.0,80.0,2553.0,83.93090694916208,1790.0,80.0,450.0,80.0,5,1
"fitted, 5 seasons, history 1",7,2620783.367649893,3116037.7032401413,2347.8941274125227,64.18877526936012,2,9403.0,90.11813237350329,7263.0,109.92935488532147,7364.0,80.0,3006.0,80.0,1943.0,80.0,372.0,80.0,5,1
"fitted, 5 seasons, history 1",8,166556.2599406317,2156918.9936515503,9951.813668554592,0.0,0,6953.0,80.0,7130.0,89.68849840835207,5917.0,80.0,1454.0,80.0,1298.0,80.0,198.0,80.0,5,1
"fitted, 5 seasons, history 1",9,1966804.2358854222,2722819.2661534715,3780.0751513402474,0.0,0,9586.0,80.96807301193694,7039.0,93.19780057693481,7655.0,80.0,2117.0,80.0,1609.0,80.0,342.0,80.0,5,1
"fitted, 5 seasons, history 1",10,1440432.6179887317,2585639.5101923496,5726.034461018089,0.0,0,8098.0,80.0,7509.0,94.54781065286318,6974.0,80.0,2043.0,80.0,1700.0,80.0,296.0,80.0,5,1
"fitted, 5 seasons, history 1",11,3005753.2850392964,3354388.5552414693,1677.1404646916308,33.01794315961706,2,9675.0,93.62586446454705,7092.0,119.40059049682165,7532.0,80.0,2668.0,88.11739773988009,2435.0,80.04412616088649,580.0,80.0,5,1
"fitted, 5 seasons, history 1",12,3148215.3070625383,3435693.8230693713,228.47831605372266,604.4571319902207,2,9497.0,92.71293540034007,6720.0,119.37272362198148,8785.0,80.0,2737.0,86.39648754706359,2621.0,80.0,658.0,80.0,5,1
"fitted, 5 seasons, history 1",13,3279185.2048463663,3449550.9672117233,438.29066565260837,206.76907308708905,2,9811.0,80.0,8343.0,119.5261641559906,10207.0,83.96589985218597,1868.0,86.63957720426983,2313.0,84.29552203312458,403.0,80.05599214776278,5,1
"fitted, 5 seasons, history 1",14,1877918.345088333,2821050.3761746734,4715.660155431702,0.0,0,10003.0,84.23909046954302,8206.0,100.05444238457648,6144.0,80.0,2385.0,80.0,1379.0,80.0,265.0,80.0,5,1
"fitted, 5 seasons, history 1",15,1193377.3437298685,2517307.956242729,6619.653062564302,0.0,0,7491.0,80.0,7834.0,96.92468167509944,6059.0,80.0,2111.0,80.0,1689.0,80.0,275.0,80.0,5,1
