policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun
SAC,10,1164067.93691542,2517763.5456740856,6768.478043793329,0.0,0,7974.0,81.67616654853639,7825.0,93.31058103741168,6817.0,80.8352514435613,1705.0,83.0397144293855,1636.0,81.67167281609001,129.0,90.11226937752362
SAC,11,2324402.444386819,3029125.9499144554,3523.6175276381828,0.0,0,10180.0,86.05219747029494,9063.0,98.4709281516525,7064.0,82.11131472988549,2288.0,86.89755492954404,1309.0,86.90346968911639,210.0,88.0662469409761
SAC,12,2588510.779481297,3173955.839533806,1815.628655292663,555.7983224849413,1,9431.0,86.26633403119473,8849.0,100.35250422913876,8611.0,81.42945102013967,2243.0,86.25340550965196,1888.0,84.74156847634053,243.0,88.13825918323218
SAC,13,2836286.9775472996,3263645.687673092,1391.848597260081,372.47247668444106,2,9031.0,83.16104052286187,9470.0,101.94607539980062,10766.0,82.99669801114815,1693.0,83.17343128551342,1984.0,83.10107935941026,162.0,86.98811657634782
SAC,14,1599262.7198186873,2765127.9833376408,5829.326317594767,0.0,0,10096.0,84.93563531376952,9424.0,96.32685147048763,5971.0,81.80396317916586,1799.0,86.75602047293633,1024.0,84.74590644123964,95.0,90.0853289679477
SAC,15,1006790.6106437091,2480857.1012449265,7370.332453006087,0.0,0,7358.0,81.27658358570284,8179.0,96.55077046819822,5907.0,80.55579179411353,1886.0,82.58549616357048,1560.0,81.3667320402769,205.0,84.41543079585564
SAC,16,2406900.379424183,3052194.612852335,2624.730264860669,300.8704511400447,1,8862.0,85.52800436881884,8461.0,100.73075592243111,8098.0,80.96130426694329,2311.0,84.83778172733979,1932.0,83.83180768531795,266.0,88.0846344393895
SAC,17,2541216.255325455,3153563.214429617,3061.734795520809,0.0,0,10881.0,86.69224387910718,9544.0,97.8281018923584,8056.0,81.88605359687942,1982.0,87.32400212951914,1284.0,86.86961414472336,180.0,88.30730181270175
SAC,18,1694584.446843282,2759267.200255394,5253.129704532392,35.142031264083926,1,8113.0,83.05777143156662,8909.0,101.7527362937437,6435.0,80.54244883021552,2070.0,83.5123900330585,1586.0,82.62647770467352,205.0,85.8231426855413
SAC,19,2171049.301241038,2914739.598016739,3718.4514838785053,0.0,0,10055.0,85.3605741988599,8636.0,98.72523277073118,6660.0,81.83384377158082,2227.0,86.64241179094542,1294.0,85.28637633349464,198.0,87.89237483583315
SAC,20,2388285.355012615,3027461.346486807,3195.8799573709584,0.0,0,9442.0,85.56881324034377,8576.0,100.13418893274198,7721.0,81.97935378871084,2281.0,85.81525594714648,1564.0,84.90923746010226,272.0,86.66902521515594
SAC,21,2811397.578045291,3183033.570472002,1531.2939078815998,163.4430271259771,1,10175.0,87.74498424155121,7769.0,96.74663717566594,10735.0,81.2526556978017,1701.0,86.6207281236856,1826.0,83.59608579569813,249.0,88.86191469598486
SAC,22,182307.99722228153,2150820.7092630863,9842.563560204024,0.0,0,6722.0,85.4087949570571,7907.0,89.36255097660597,5545.0,84.90911997815743,1307.0,83.72988029390962,857.0,87.81876913307707,115.0,86.66884443034296
SAC,23,1966390.0631443933,2894443.886526823,4242.532883142066,198.86811688504167,1,10169.0,85.6208040250275,9510.0,98.65054893067457,6079.0,82.28282458316654,2098.0,86.97671565075393,1067.0,86.22987503187613,138.0,88.00257786460544
SAC,24,3053467.9531363323,3296044.5527613163,1212.88299812492,0.0,0,10381.0,88.06713507189455,9182.0,100.0690367336861,9916.0,81.23699487650188,1841.0,86.89630225519329,1610.0,85.3755547252501,236.0,88.38731070191173
SAC,25,1932888.563259785,2888390.2457737923,4777.508412570036,0.0,0,10730.0,85.10159386537504,9114.0,98.14058382834995,6071.0,82.04409778756299,2032.0,86.64496178526109,1130.0,85.22671211820789,143.0,88.50734460603941
SAC,26,786286.6268087325,2378399.9071085453,7960.566401499064,0.0,0,4776.0,81.18771084064814,8405.0,96.22566531883118,7375.0,80.38837005033331,1192.0,84.45887777029267,2033.0,82.36719380736174,212.0,82.94257764546376
