policy,seed,score,revenue,unsold,denied,nights_denied,sold_fri,night_price_fri,sold_sat,night_price_sat,sold_sun,night_price_sun,sold_fri_sat,night_price_fri_sat,sold_sat_sun,night_price_sat_sun,sold_fri_sat_sun,night_price_fri_sat_sun,round
dagger round 2,28,1713805.1292456994,2692624.3420016766,4894.096063779885,0.0,0,8985.0,80.24893787176528,8190.0,93.97095330236013,6169.0,80.0001085134974,2312.0,80.00927493130872,1607.0,80.00053109481755,339.0,80.00025962306334,2
dagger round 2,29,2453669.147616046,3011793.828034401,2790.6234020917746,0.0,0,9175.0,85.29326567364,7542.0,106.04889275556026,7327.0,80.00075338790438,2697.0,80.15244189836292,1938.0,80.00432453841987,420.0,80.00223232734771,2
dagger round 3,0,2975739.7015160266,3283923.966946602,1540.9213271528752,0.0,0,9781.0,84.99625427032367,7341.0,115.99151097807437,8377.0,80.0051726365098,2327.0,86.65248951791027,2494.0,80.26211678551596,530.0,80.03173957230909,3
dagger round 3,1,2847561.4560552924,3280230.5188179016,2089.0008656191567,37.172224096944774,1,9846.0,92.66758765167951,7490.0,115.7140678878779,7360.0,80.00076549791771,2577.0,87.23150672725711,2155.0,80.06418543957226,490.0,80.03647846105147,3
dagger round 3,2,2086320.5998884095,2930997.725943327,4223.385630274588,0.0,0,9573.0,87.18080503856153,7610.0,110.88715508403979,6103.0,80.00017945441812,2688.0,81.71107129859072,1601.0,80.00148239767157,287.0,80.00007894396367,3
dagger round 3,3,3455822.710312407,3482323.2017195225,132.50245703557812,0.0,0,10494.0,81.76649761820194,8441.0,117.0754422661027,10140.0,82.58360083016183,1818.0,88.42015628767486,2322.0,83.03978812632943,381.0,80.05388522085555,3
dagger round 3,4,2760910.6423279,3183347.4624192715,2112.184100456856,0.0,0,9305.0,80.39703976332918,7189.0,115.7355493903243,7822.0,80.00090677059694,2700.0,83.01984726102263,2564.0,80.2554196058867,490.0,80.00413819478483,3
dagger round 3,5,1815979.5391788324,2733598.6545085907,4588.0955766487905,0.0,0,7748.0,80.019689145535,7632.0,102.47531794402084,7565.0,80.00041933541887,2088.0,80.00933501969352,1935.0,80.00835036060914,344.0,80.00000508718712,3
dagger round 3,6,3075370.251001324,3336287.281757593,1304.585153781345,0.0,0,10246.0,98.31099535195874,7133.0,104.36505561437811,9801.0,80.08086556148169,2411.0,83.20958624732589,1884.0,80.00670511821274,404.0,80.01850540095036,3
dagger round 3,7,2513278.663004083,3069003.296993971,2778.623169949439,0.0,0,9421.0,88.45525734098888,7097.0,110.99030208029981,7409.0,80.00035717864158,2838.0,81.12952610486994,1879.0,80.00904863219492,392.0,80.0002571879601,3
dagger round 3,8,307819.68648724584,2205103.60327363,9486.419583931922,0.0,0,6951.0,80.0026080594991,7636.0,88.4919452706265,5960.0,80.00014320235924,1483.0,80.000033393874,1320.0,80.00001061865778,200.0,80.0,3
dagger round 3,9,2086740.627068533,2757146.146426201,3352.027596788338,0.0,0,9775.0,80.61945870404354,7492.0,91.26052104004296,7656.0,80.00040892943693,2024.0,80.00095615627266,1658.0,80.0000331916625,349.0,80.00000249690518,3
dagger round 3,10,1508886.1750734383,2605530.504860878,5483.221648937199,0.0,0,8107.0,80.02824615929296,7993.0,92.60232958241218,6902.0,80.00023571262149,2001.0,80.00182899399319,1706.0,80.000628940106,297.0,80.0000004816537,3
